=== Training Iterations ===
Epoch | Training Loss | Training Accuracy | Validation Loss | Validation Accuracy
-----------------------------------------------------------------
    1 |       1.348612 |          0.519444 |        1.130772 |            0.333333
    2 |       0.672567 |          0.751389 |        1.242600 |            0.333333
    3 |       0.492569 |          0.812500 |        1.362638 |            0.333333
    4 |       0.465729 |          0.823611 |        1.494683 |            0.333333
    5 |       0.423885 |          0.852778 |        1.642967 |            0.333333
    6 |       0.426762 |          0.862500 |        1.654522 |            0.333333
    7 |       0.382140 |          0.859722 |        1.704229 |            0.333333
    8 |       0.378432 |          0.865278 |        1.686184 |            0.333333
    9 |       0.403059 |          0.859722 |        1.765028 |            0.333333
   10 |       0.396061 |          0.855556 |        1.741717 |            0.333333
   11 |       0.327537 |          0.881944 |        1.526782 |            0.354167
   12 |       0.330568 |          0.876389 |        1.538992 |            0.454167
   13 |       0.345085 |          0.886111 |        1.472208 |            0.520833
   14 |       0.322843 |          0.877778 |        1.245512 |            0.554167
   15 |       0.341321 |          0.868056 |        1.181670 |            0.570833
   16 |       0.334650 |          0.884722 |        0.993119 |            0.616667
   17 |       0.328360 |          0.891667 |        0.855873 |            0.654167
   18 |       0.343326 |          0.894444 |        0.696581 |            0.670833
   19 |       0.263353 |          0.908333 |        0.587022 |            0.729167
   20 |       0.287794 |          0.905556 |        0.530347 |            0.779167
   21 |       0.312143 |          0.898611 |        0.540297 |            0.770833
   22 |       0.286793 |          0.894444 |        0.477614 |            0.825000
   23 |       0.289453 |          0.895833 |        0.437198 |            0.850000
   24 |       0.293248 |          0.893056 |        0.392799 |            0.870833
   25 |       0.298085 |          0.888889 |        0.391500 |            0.883333
   26 |       0.307079 |          0.904167 |        0.429819 |            0.866667
   27 |       0.265310 |          0.902778 |        0.377370 |            0.870833
   28 |       0.220033 |          0.902778 |        0.331311 |            0.879167
   29 |       0.268717 |          0.908333 |        0.302365 |            0.887500
   30 |       0.301201 |          0.900000 |        0.266497 |            0.900000
   31 |       0.288320 |          0.901389 |        0.237730 |            0.920833
   32 |       0.215665 |          0.927778 |        0.232907 |            0.920833
   33 |       0.288645 |          0.904167 |        0.223386 |            0.925000
   34 |       0.269749 |          0.906944 |        0.197585 |            0.929167
   35 |       0.255513 |          0.906944 |        0.193230 |            0.929167
   36 |       0.246689 |          0.918056 |        0.182044 |            0.937500
   37 |       0.305662 |          0.890278 |        0.186515 |            0.933333
   38 |       0.225249 |          0.920833 |        0.180113 |            0.933333
   39 |       0.213036 |          0.913889 |        0.174526 |            0.937500
   40 |       0.287232 |          0.905556 |        0.188130 |            0.937500
   41 |       0.263403 |          0.916667 |        0.196420 |            0.933333
   42 |       0.195451 |          0.933333 |        0.222869 |            0.929167
   43 |       0.233414 |          0.916667 |        0.216820 |            0.929167
   44 |       0.230055 |          0.930556 |        0.190989 |            0.933333
   45 |       0.272995 |          0.912500 |        0.168353 |            0.941667
   46 |       0.218286 |          0.912500 |        0.149970 |            0.937500
   47 |       0.214500 |          0.919444 |        0.151841 |            0.941667
   48 |       0.263702 |          0.908333 |        0.167501 |            0.941667
   49 |       0.224541 |          0.933333 |        0.159101 |            0.941667
   50 |       0.295081 |          0.902778 |        0.181659 |            0.929167
   51 |       0.263225 |          0.908333 |        0.174633 |            0.929167
   52 |       0.248257 |          0.925000 |        0.175793 |            0.933333
   53 |       0.183668 |          0.933333 |        0.163344 |            0.929167
   54 |       0.211254 |          0.929167 |        0.160243 |            0.933333
   55 |       0.229402 |          0.911111 |        0.165830 |            0.937500
   56 |       0.167095 |          0.934722 |        0.165670 |            0.937500
   57 |       0.220460 |          0.920833 |        0.163291 |            0.933333
   58 |       0.182884 |          0.933333 |        0.169256 |            0.920833
   59 |       0.178287 |          0.927778 |        0.163246 |            0.929167
   60 |       0.235578 |          0.918056 |        0.144806 |            0.933333
   61 |       0.171936 |          0.931944 |        0.156027 |            0.937500
   62 |       0.238833 |          0.919444 |        0.164806 |            0.933333
   63 |       0.233717 |          0.913889 |        0.146366 |            0.941667
   64 |       0.191049 |          0.926389 |        0.150297 |            0.941667
   65 |       0.158473 |          0.933333 |        0.155250 |            0.941667
   66 |       0.213699 |          0.920833 |        0.147002 |            0.941667
   67 |       0.213825 |          0.923611 |        0.146863 |            0.941667
   68 |       0.188340 |          0.923611 |        0.157366 |            0.941667
   69 |       0.201992 |          0.925000 |        0.151500 |            0.945833
   70 |       0.240057 |          0.918056 |        0.155376 |            0.950000
   71 |       0.171136 |          0.940278 |        0.150389 |            0.945833
   72 |       0.188500 |          0.927778 |        0.136013 |            0.950000
   73 |       0.217623 |          0.919444 |        0.146393 |            0.941667
   74 |       0.195255 |          0.918056 |        0.141950 |            0.941667
   75 |       0.220629 |          0.926389 |        0.142249 |            0.941667
   76 |       0.234167 |          0.909722 |        0.140530 |            0.941667
   77 |       0.189888 |          0.922222 |        0.149261 |            0.941667
   78 |       0.181967 |          0.920833 |        0.157463 |            0.937500
   79 |       0.206238 |          0.936111 |        0.160034 |            0.937500
   80 |       0.301516 |          0.901389 |        0.144097 |            0.937500
   81 |       0.170784 |          0.930556 |        0.149166 |            0.933333
   82 |       0.201497 |          0.937500 |        0.130060 |            0.945833
   83 |       0.175414 |          0.937500 |        0.130548 |            0.954167
   84 |       0.229000 |          0.933333 |        0.139536 |            0.945833
   85 |       0.202206 |          0.929167 |        0.147524 |            0.937500
   86 |       0.251344 |          0.908333 |        0.150483 |            0.941667
   87 |       0.186466 |          0.937500 |        0.156959 |            0.937500
   88 |       0.185513 |          0.927778 |        0.144869 |            0.941667
   89 |       0.209820 |          0.933333 |        0.161005 |            0.941667
   90 |       0.179673 |          0.925000 |        0.165690 |            0.941667
   91 |       0.200768 |          0.933333 |        0.144569 |            0.937500
   92 |       0.163825 |          0.945833 |        0.145682 |            0.929167
   93 |       0.179048 |          0.947222 |        0.142461 |            0.937500
   94 |       0.175710 |          0.944444 |        0.140450 |            0.933333
   95 |       0.176209 |          0.926389 |        0.146852 |            0.929167
   96 |       0.190482 |          0.941667 |        0.148771 |            0.941667
   97 |       0.174774 |          0.940278 |        0.159047 |            0.945833

Total Epochs Trained: 97

=== Model Configuration ===
